"許可證字號","中文品名","英文品名","形狀","特殊劑型","顏色","特殊氣味","刻痕","外觀尺寸","標註一","標註二","外觀圖檔連結"
"衛署藥製字第026717號","“派頓”莫喀膠囊３７５毫克（卡玻西典）","MUCO CAPSULES 375MG ""PATRON"" (CARBOCISTEINE)","膠囊","","紅;;;白","","無","20","Patron 302",,"https://mcp.fda.gov.tw/insert/shapeImg/f435a381-9728-439d-a04d-503ac4bfb86c_img_1?c=o"
"衛署藥製字第026766號","樂口鳴炎消喉片2毫克(吡啶)","LACOMEN CPC TROCHES 2MG (CETYLPYRIDINIUM)","圓形","","綠","","無","17","CHANAN",,"https://mcp.fda.gov.tw/insert/shapeImg/8a3aa5f1-d2af-4a03-ba59-9a5d59880853?c=o"
"衛署藥製字第026798號","理冒袪痰錠12公絲","FUCOLE BISLAN TABLETS 12MG","圓形","","黃","","十字","6.4",,,"https://mcp.fda.gov.tw/insert/shapeImg/a2500ae8-de03-41df-aedc-73e0155cc6e6?c=o"
"衛署藥製字第026834號","""大豐"" 喘咳寧錠","PHYLLINTAL TABLETS ""T.F.""","圓形","","白","","直線","11","P T","TF","https://mcp.fda.gov.tw/insert/shapeImg/eaa97307-17e3-4d06-85bb-a989dd241f0f?c=o"
"衛署藥製字第026849號","""大豐""必治痛錠３００毫克","PYRUDON TABLETS 300MG  ""T.F.""","橢圓形","","藍","","無","14","TF",,"https://mcp.fda.gov.tw/insert/shapeImg/a48b88e8-fe34-4d08-b50d-e8aa63888c0c?c=o"
"衛署藥製字第026867號","保普健膠囊","PAPUTIN CAPSULES","膠囊","","紅;;;白","","無","16","YC PAPUTIN",,"https://mcp.fda.gov.tw/insert/shapeImg/43f51b13-7c99-4b7e-9a86-e4a266de92b0?c=o"
"衛署藥製字第049841號","“衛達”血保定膜衣錠 20 毫克","Simpotin F.C. Tablets 20 mg“Weidar”","橢圓形","","橘","","無","11.4","WD",,"https://mcp.fda.gov.tw/insert/shapeImg/27bab120-7b22-48c7-bc99-a3a28d023b8c?c=o"
"衛署藥製字第049851號","心肯膜衣錠 1.25 毫克","Cidincor Film Coated Tablets 1.25 mg","圓形","","白","","無","5",,,"https://mcp.fda.gov.tw/insert/shapeImg/1f024641-7ad2-4710-b053-1098e9672b11?c=o"
"衛署藥製字第049854號","安寶寧 錠 1.0 毫克","Alpragin Tablets 1.0 mg","橢圓形","","白","","直線","10","PBF 2007",,"https://mcp.fda.gov.tw/insert/shapeImg/0af03e58-7c16-4b4a-9bfa-cca1a734b058?c=o"
"衛署藥製字第049858號","疱易剋 膜衣錠 500 毫克","Vacyless Film Coated Tablets 500 mg","橢圓形","","白","","無","18.1","YSP500",,"https://mcp.fda.gov.tw/insert/shapeImg/80084da3-f00d-425d-b24d-628552aa2514?c=o"
"衛署藥製字第049887號","""華興""洛沙坦膜衣錠 50 毫克","Depressor F.C. Tablets 50mg""H.S.""","橢圓形","","白","","直線","10","HS","L 0","https://mcp.fda.gov.tw/insert/shapeImg/47e39672-3c75-4d28-b832-df17665ab118_img_1?c=o"
"衛署藥製字第049889號","“信東”喘停欣膜衣錠 10 毫克","Montexin Film Coated Tablets 10 mg (Montelukast)","四邊形","","黃","","無","8","ST 127",,"https://mcp.fda.gov.tw/insert/shapeImg/ea734f71-e918-4ae1-bc86-e2d4f0155f0b?c=o"
"衛署藥製字第049891號","益適順液","Laxus Liquid","液劑(包含糖漿用粉劑)","","透明;;;棕","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/28a14054-9959-437d-ae00-bfcf9cf47e59_img_1?c=o"
"衛署藥製字第049899號","意必寧膜衣錠 500 毫克","Nobelin F.C. Tablets 500 mg","橢圓形","","黃","","無","18","N K","465","https://mcp.fda.gov.tw/insert/shapeImg/7a8f5502-d320-4770-8659-5be59755dd65?c=o"
"衛署藥製字第049904號","依心舒錠 4 毫克","Acetec Tablets 4 mg","雙圓形","","綠","","無","8","YSP","16","https://mcp.fda.gov.tw/insert/shapeImg/cabe62bd-fab0-4863-ab64-6603b0632f6e?c=o"
"衛署藥製字第049915號","心肯 膜衣錠 2.5 毫克","Cidincor Film Coated Tablets 2.5 mg","其他","","白","","直線","8","P M","2 8","https://mcp.fda.gov.tw/insert/shapeImg/e21c8dbd-e62f-415f-b157-e3f64be52919?c=o"
"衛署藥製字第049920號","薩多心持續性藥效錠 4 毫克","Xadosin SR F.C. Tablets 4 mg","圓形","","白","","無","9.0",,,"https://mcp.fda.gov.tw/insert/shapeImg/0bbcb466-51f8-45a2-a537-7efd03b91d60?c=o"
"衛署藥製字第049930號","泌特穩錠 30 毫克","Glitis Tablets 30mg","圓形","","白","","直線","7.2","CCP C80",,"https://mcp.fda.gov.tw/insert/shapeImg/8337c2a5-f830-40a3-98a0-762ab0c8c67f?c=o"
"衛署藥製字第049958號","康緒平緩釋膠囊 37.5 毫克","Calmdown Sustained-Release Capsules 37.5mg","膠囊","","灰;;;粉","","無","17","CAS",,"https://mcp.fda.gov.tw/insert/shapeImg/6160db9a-dcfe-45b7-94b9-133cfcdba8ab?c=o"
"衛署藥製字第049959號","“羅得”立安舒 錠","Sedate Tablet“ROOT”","橢圓形","","白","","直線","11",,,"https://mcp.fda.gov.tw/insert/shapeImg/01135abd-c22e-414a-a2a0-f19cf716db12?c=o"
"衛署藥製字第049967號","栓暢膜衣錠 75 毫克","Clofix F.C. Tablets 75mg","圓形","","粉","","無","9.0","GBL","82","https://mcp.fda.gov.tw/insert/shapeImg/203bcb47-c38b-4cd3-87f8-f2e475f976b0?c=o"
"衛署藥製字第049970號","""三友""真夜寧膠囊 50 毫克","Sun You Nice Dream Capsules 50mg","膠囊","","橘;;;白","","無","18","X Y 3014",,"https://mcp.fda.gov.tw/insert/shapeImg/29026fb0-8ff1-4368-ad84-479800e45768?c=o"
"衛署藥製字第049971號","“光南”德康鼻炎膠囊","Dorcon Anti-Aller Capsules“K.N.”","膠囊","","藍;;;粉","","無","19",,,"https://mcp.fda.gov.tw/insert/shapeImg/d0d9a590-abba-40b9-bfda-bf8d5ae5881e?c=o"
"衛署藥製字第049992號","慮立定 錠 1.5 毫克","Bropan Tablets 1.5mg","圓形","","黃","","直線","8.1","GP","286","https://mcp.fda.gov.tw/insert/shapeImg/121f9bad-4a0c-4476-8bb5-bbd8cadc98b8?c=o"
