"許可證字號","中文品名","英文品名","形狀","特殊劑型","顏色","特殊氣味","刻痕","外觀尺寸","標註一","標註二","外觀圖檔連結"
"衛署藥製字第042227號","""信東"" 欣得眠膠囊15毫克","SYNDOMAN CAPSULES 15MG (FLURAZEPAM HYDROCHLORIDE)""S.T.""","膠囊","","灰;;;黃","","無","15","ST","15","https://mcp.fda.gov.tw/insert/shapeImg/7e24449a-b7b7-438b-bc2b-6dbbb3c50390?c=o"
"衛署藥製字第042240號","""壽元""壽胃寧錠４００公絲（希美替定）","SUWELIN TABLETS 400MG (CIMETIDINE)","橢圓形","","白","","直線","10",,,"https://mcp.fda.gov.tw/insert/shapeImg/566c3d55-6cce-4b0d-8425-376c319dd286?c=o"
"衛署藥製字第042244號","""強生""健菩臨膜衣錠６００公絲（健菲布旨）","GEMBRIL F.C TABLETS 600MG ""JOHNSON""(GEMFIBROZIL)","橢圓形","","白","","直線","19",,,"https://mcp.fda.gov.tw/insert/shapeImg/67f3bea7-fc1d-48db-801b-b7ef02c72239?c=o"
"衛署藥製字第042272號","柔瓦拉欣膜衣錠10毫克（匹普蘇蘭）","ROWAPRAXIN F.C. TABLETS 10MG (PIPOXOLAN)","圓形","","白","","無","6","ROWA P",,"https://mcp.fda.gov.tw/insert/shapeImg/b03d36fb-a57f-4d0f-905b-ab1223c2025a?c=o"
"衛署藥製字第042274號","""信東""賓渡帕膠囊125毫克","BENDOPAR CAPSULES 125MG","膠囊","","藍;;;粉","","無","18","ST 021","125","https://mcp.fda.gov.tw/insert/shapeImg/b561b0a4-66ed-4b6d-826c-fbb8d7f5d5d0?c=o"
"衛署藥製字第042350號","骨多能膠囊250毫克","KUDONA CAPSULES 250MG","膠囊","","紅;;;白","","無","20","SY Kudona",,"https://mcp.fda.gov.tw/insert/shapeImg/1f1bdc96-658f-4172-b79b-760f38311da0?c=o"
"衛署藥製字第042378號","健諾心錠２公絲（甲磺酸多薩坐辛）","GENZOSIN TABLET 2MG (DOXAZOSIN MESYLATE)","圓形","","白","","直線","8.0","GBL 2",,"https://mcp.fda.gov.tw/insert/shapeImg/144200e3-43c7-48e4-aa66-5cb123058b01?c=o"
"衛署藥製字第042379號","〝成大〞伊普膜衣錠４００毫克（異布洛芬）","I PUU F.C. TABLETS 400MG (IBUPROFEN) ""CHEN TA""","四邊形","","紅","","直線","18",,,"https://mcp.fda.gov.tw/insert/shapeImg/654b3096-22b3-4e68-b98b-70230f1543ec?c=o"
"衛署藥製字第042394號","""十全""賀喘寧錠０．５公絲（赫索普納林）","HEXOLINE TABLETS 0.5MG (HEXOPRENALINE)""S.C.""","圓形","","橘","","十字","6.2",,,"https://mcp.fda.gov.tw/insert/shapeImg/dea6a0e8-6dda-49a8-b40b-19b15420c1cd?c=o"
"衛署藥製字第042415號","""長安"" 治痛風錠１００公絲（本補麻隆）","CHITUNFEN TABLETS 100MG ""C.A."" (BENZBROMARONE)","橢圓形","","白","","直線","14",,,"https://mcp.fda.gov.tw/insert/shapeImg/d4b5ad09-5186-40a0-be0d-404e19b454e6?c=o"
"衛署藥製字第042416號","""成大""護胃定膜衣錠４０毫克（啡莫替定）","FUWEIDIN F.C. TABLETS 40MG (FAMOTIDINE) ""CHEN TA""","圓形","","黃","","無","8","F",,"https://mcp.fda.gov.tw/insert/shapeImg/cd658eb9-94a1-45c8-92b2-ac2eab26b695?c=o"
"衛署藥製字第042437號","""派頓""派嗽膠囊","PACOUGH CAPSULES ""PATRON""","膠囊","","紅;;;透明","","無","20","Patron 509",,"https://mcp.fda.gov.tw/insert/shapeImg/b8827520-fff5-446f-a810-46187dc307cd_img_1?c=o"
"衛署藥製字第042448號","""'瑞士""克慮平錠100毫克（可洛慮平）","CLOPINE TABLETS 100MG  ""SWISS"" (CLOZAPINE)","圓形","","黃","","直線","10","Z E ","SWISS","https://mcp.fda.gov.tw/insert/shapeImg/c509d1d2-6a98-4031-827c-688864d6034b?c=o"
"衛署藥製字第042512號","〝永勝〞莫得炎腸溶微粒膠囊50毫克","VORTAGEN E.M. CAPSULES 50MG (DICLOFENAC SODIUM) ""EVEREST""","膠囊","","紅;;;透明","","無","14",,"VGCP eeP","https://mcp.fda.gov.tw/insert/shapeImg/9f107291-b57c-4c34-aeb1-30fc11ccb1fd?c=o"
"衛署藥製字第042514號","""健亞"" 健得靜錠０．５毫克（三氮二氮平）","GENDERGIN TABLET 0.5MG (ALPRAZOLAM)","橢圓形","","粉","","直線","10","GBL 55",,"https://mcp.fda.gov.tw/insert/shapeImg/bb4f63bf-f2c3-4ede-8753-1c6b49c155eb?c=o"
"衛署藥製字第042516號","倍力骨膠囊250毫克(硫酸固可沙明)","Bei-Li-Gu Capsules 250mg (Glucosamine Sulfate)","膠囊;;;膠囊","","紅;;;白;;;紅;;;粉","","無;;;無","20;;;20","logo 2703;;;2703",,"https://mcp.fda.gov.tw/insert/shapeImg/00e56d6f-0e86-4b92-99d1-47601af4404b?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/aa4a29ec-0b02-49f2-afa0-53d8218e0ad4?c=o"
"衛署藥製字第042518號","""三友""通骨力膠囊250毫克（硫酸固可沙明）","GLUCOSAMINE CAPSULE 250MG (GLUCOSAMINE SULFATE) ""SUN YOU""","膠囊","","紅;;;白","","無","19","SUNYOU 3019",,"https://mcp.fda.gov.tw/insert/shapeImg/62ade78c-e1ff-4f40-9684-bbc058849998?c=o"
"衛署藥製字第042520號","""順華""伊普膜衣錠600毫克(異布洛芬)","Ibuprofen Tablet 600mg ""Shun Hwa""","橢圓形","","白","","無","18","SH",,"https://mcp.fda.gov.tw/insert/shapeImg/e2236462-2188-496d-be83-9faba1f90eed?c=o"
"衛署藥製字第042524號","康利舒冒止炎痛強效顆粒劑400毫克","Cold-Free Brofen IB Extra Granules 400mg","顆粒劑、粉劑或散劑","","橘","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/0a322ba8-dd9d-4f40-971f-4d3a8702e156?c=o"
"衛署藥製字第042526號","美肯寧錠５公絲（美奎塔令）〝華興〞","MEQAZINE TABLETS 5MG (MEQUITAZINE) ""H.S.""","圓形","","白","","直線","9",,,"https://mcp.fda.gov.tw/insert/shapeImg/f0bdf8e5-0507-4ce5-a6ee-5edd6cc67f29_img_1?c=o"
"衛署藥製字第042534號","〝管制藥品廠〞嗎啡長效膜衣錠30毫克","MORPHINE SULFATE SUSTAINED-RELEASE F.C. TABLETS 30MG ""PPCD""","圓形","","紫","","無","7","NNB","30","https://mcp.fda.gov.tw/insert/shapeImg/f7b98588-976e-4dc1-83b6-90e52ad73b71?c=o"
"衛署藥製字第042535號","""十全"" 暢心膜衣錠５０毫克（二吡待摩）","SANCIN F.C. TABLET 50MG (DIPYRIDAMOLE) ""S.C.""","圓形","","紅","","無","7.5",,,"https://mcp.fda.gov.tw/insert/shapeImg/90c928b3-67b8-4372-b8a4-4cabf7496a7e?c=o"
"衛署藥製字第042537號","""中國化學"" 柔安錠０．５毫克（三氮二氮平）","AMPRAZO TABLETS 0.5 MG (ALPRAZOLAM)","橢圓形","","粉","","直線","9.4","CCP C60",,"https://mcp.fda.gov.tw/insert/shapeImg/b8204f0f-94dd-44dd-ae72-c8a556c16bc3?c=o"
"衛署藥製字第042538號","""溫士頓""舒敏錠5毫克","Mequitine Tablets 5mg","橢圓形","","藍","","直線","10","WS GB",,"https://mcp.fda.gov.tw/insert/shapeImg/11249ea4-2426-4e16-8a65-373d081addae?c=o"
"衛署藥製字第042556號","愛憶欣膜衣錠５毫克","ARICEPT F.C. TABLETS 5MG","圓形","","白","","無","8","ARICEPT","5","https://mcp.fda.gov.tw/insert/shapeImg/8d0361ef-2a45-4ea8-b222-ef889265e883?c=o"
"衛署藥製字第042569號","衛格止咳膠囊","WELGER COUGH CAPSULES","膠囊","","橘;;;白","","無","19","HWJ",,"https://mcp.fda.gov.tw/insert/shapeImg/ecf7af39-654b-4e9b-b9ab-c3c4897f5d6d?c=o"
"衛署藥製字第042584號","欣保錠20毫克","Synbot Tablets 20mg","四邊形","","橘","","十字","9","SYNBOT",,"https://mcp.fda.gov.tw/insert/shapeImg/6ea2867f-5f7f-48ae-bc1a-e33302ede9ef?c=o"
"衛署藥製字第042602號","""羅得""痛治錠200毫克（泰普菲酸）","PAIN WILL PASS TABLETS 200MG ""ROOT""(TIAPROFENIC ACID) ","圓形","","白","","直線","9","PWP ROOT",,"https://mcp.fda.gov.tw/insert/shapeImg/cece4837-7b6e-40a4-9be8-aa965b6a44eb?c=o"
"衛署藥製字第042605號","美致康膠囊〝成大〞","MEDIKA CAPSULES ""CHEN TA""","膠囊","","白;;;白","","無","18","CTA 234",,"https://mcp.fda.gov.tw/insert/shapeImg/b693aebd-4f16-4c76-a1f9-6d8c97137b44?c=o"
"衛署藥製字第042619號","〝正和〞祛脂微粒膠囊200公絲","FENOLIP MICRONISED CAPSULES 200MG(FENOFIBRATE) ""C.H."" ","膠囊","","橘;;;橘","","無","19","CH 51",,"https://mcp.fda.gov.tw/insert/shapeImg/40151407-db1e-45db-bbac-2a41c28ae632?c=o"
"衛署藥製字第042620號","普痛寧加強錠〝成大〞","PUTONRIN EXTRA TABLETS ""CHEN TA""","四邊形","","白","","直線","19",,,"https://mcp.fda.gov.tw/insert/shapeImg/750138e6-bc4d-4753-80e9-c03d24c7b0fc?c=o"
"衛署藥製字第042621號","〝瑞士〞克慮平錠２５毫克（可洛慮平)","CLOPINE TABLETS 25MG ""SWISS"" (CLOZAPINE) ","圓形","","黃","","直線","6","L D","SWISS","https://mcp.fda.gov.tw/insert/shapeImg/cdc913a8-f715-4e9a-9f7e-e1b30ddb6a28?c=o"
"衛署藥製字第042622號","暈速克止暈錠","IUSKO TABLETS","圓形","","白","","直線","9.8","YSP 33",,"https://mcp.fda.gov.tw/insert/shapeImg/80389fa6-506b-4f6b-b4c9-c0dfcc18d4f0?c=o"
"衛署藥製字第042626號","柔他定錠１０公絲（樂雷塔定）","FINSKA TABLETS 10MG","橢圓形","","白","","直線","7.6","CCP",,"https://mcp.fda.gov.tw/insert/shapeImg/183e757e-2056-4e3a-92b9-4f8e03169277?c=o"
"衛署藥製字第042646號","""信東"" 艾斯樂錠2毫克（伊塔諾浪）","ESZO TABLETS 2MG (ESTAZOLAM)","圓形","","白","","直線","7","ST",,"https://mcp.fda.gov.tw/insert/shapeImg/ba40d869-b483-4da3-9b68-85512851edac?c=o"
"衛署藥製字第042656號","思得寧膜衣錠１０毫克","CETIZINE F.C. TABLET 10MG (CETIRIZINE)","圓形","","白","","無","6",,,"https://mcp.fda.gov.tw/insert/shapeImg/1a0e923f-3cd6-4d1b-9a3a-94ae5adac0c9?c=o"
"衛署藥製字第042659號","""永信"" 壓樂克膜衣錠２．５毫克（因達拍邁）","ILOKA F.C. TABLETS 2.5MG (INDAPAMIDE)""YUNG SHIN""","圓形","","白","","無","6.1","57",,"https://mcp.fda.gov.tw/insert/shapeImg/0fc2e40e-13ff-446b-adfb-4da673ea7e0d?c=o"
"衛署藥製字第042660號","必百欣膜衣錠６２５公絲","ANBICYN F.C. TABLETS 625MG","橢圓形","","白","","無","20.5",,,"https://mcp.fda.gov.tw/insert/shapeImg/e0eb5088-0019-4bbd-8c06-1ce07c23c03d?c=o"
"衛署藥製字第042670號","大正百保能感冒膠囊","PABRON CAPSULES","膠囊","","橘;;;橘","","無","19",,,"https://mcp.fda.gov.tw/insert/shapeImg/0deaadb1-e28c-402e-9a81-6b78eaeca9b3?c=o"
"衛署藥製字第042673號","“長安”倦睡解消甜含普拉斯錠 ","Power UP EX Plus Tablet“C.A.”","橢圓形","","白","","直線","14",,,"https://mcp.fda.gov.tw/insert/shapeImg/ed816482-9f91-49f5-9db6-58c79b1e5194?c=o"
"衛署藥製字第042685號","克燒小兒解熱鎮痛液２４毫克/毫升","Kids only feverfree Solution 24mg/ml","液劑(包含糖漿用粉劑)","","紅","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/7b2a3955-d49e-4b3b-bfb3-0cfa157109bb_img_1?c=o"
"衛署藥製字第042686號","景安寧錠0.5毫克（三氮二氮平）　","KINAX TABLETS 0.5MG (ALPRAZOLAM)","橢圓形","","粉","","直線","8.6","S K","201","https://mcp.fda.gov.tw/insert/shapeImg/25a42c69-1d53-4039-9126-09581370203c?c=o"
"衛署藥製字第042687號","愛舒可羅持續性膜衣錠６０毫克","REGROW SUSTAINED RELEASE F.C. TABLET 60MG","四邊形","","粉","","直線","15",,,"https://mcp.fda.gov.tw/insert/shapeImg/01536dd2-80e8-4a5b-8038-ee93e4244b71?c=o"
"衛署藥製字第042695號","""長安""加強型綜合感冒膠囊","Complex Cold Capsule EX PLUS ""C.A""","膠囊","","藍;;;白","","無","21",,,"https://mcp.fda.gov.tw/insert/shapeImg/b3dacc76-35fa-450c-8642-56348b337b56?c=o"
"衛署藥製字第042704號","諾怡錠５毫克（安脈狄平）","NOBAR TABLETS 5MG  (AMLODIPINE BESYLATE)","八邊形","","白","","直線","8.6","NBR 5","SY","https://mcp.fda.gov.tw/insert/shapeImg/30ec49fc-dcae-41d3-aca4-7194a9a06dfa?c=o"
"衛署藥製字第042709號","""溫士頓"" 舒爽美口含錠","SOZGONE TROCHES ""WINSTON""","圓形","","綠","","無","18","winston",,"https://mcp.fda.gov.tw/insert/shapeImg/46cc5a5c-cc0a-48c7-98d4-66175cfc0fcd?c=o"
"衛署藥製字第042722號","鈣佳磷錠６６７公絲（醋酸鈣）〝溫士頓〞","CALGALIN TABLETS 667MG (CALCIUM ACETATE) ""WINSTON""","四邊形","","白","","直線","19","T 79","MDF","https://mcp.fda.gov.tw/insert/shapeImg/23b01f25-74ab-466a-b853-e5790ac8b473?c=o"
"衛署藥製字第042727號","診嗽糖漿","JUNSO SYRUP","液劑(包含糖漿用粉劑)","","棕","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/5df246bc-dca1-4308-bc9e-c5c34d55adee_img_1?c=o"
"衛署藥製字第042742號","""大豐""伊痛凝膠100毫克/公克","YI TON GEL 100MG/GM ""T.F.""","其他","","透明","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/0986179a-7362-4838-ac11-5a4ae27ba7bc?c=o"
"衛署藥製字第042752號","優淨菌膜衣錠200毫克(歐弗洒欣)","OFLODAL F.C. TABLETS 200MG (OFLOXACIN)","圓形","","白","","無","11.2",,,"https://mcp.fda.gov.tw/insert/shapeImg/e4501962-d11d-495c-ac72-6d0a5c23c57b?c=o"
"衛署藥製字第042754號","優力康錠５０毫克","EURICON TABLETS 50MG","圓形","","白","","直線","7.5","SY 50",,"https://mcp.fda.gov.tw/insert/shapeImg/73e408f1-e6c4-4a12-805f-2a77954033f9?c=o"
"衛署藥製字第042766號","〝政德〞立保膠囊３００毫克（吾膽利喜）","LIPO CAPSULES 300MG ""GENTLE"" (URSODEOXYCHOLIC ACID)","膠囊","","橘;;;橘","","無","19.6","GP 349",,"https://mcp.fda.gov.tw/insert/shapeImg/4b001c76-ef5a-447f-a881-7d00569aecca?c=o"
"衛署藥製字第042770號","""美時"" 妙而通持續釋放錠１００毫克（鹽酸妥美度）","MUACTION SUSTAINED RELEASE TABLETS 100MG ""Lotus"" (TRAMADOL HYDROCHLORIDE)","圓形","","白","","直線","10","LP61",,"https://mcp.fda.gov.tw/insert/shapeImg/e0b46def-ae72-4190-b7f3-f96fd2d49b59?c=o"
"衛署藥製字第042826號","脂淨膠囊100毫克","Synpid capsules 100mg","膠囊","","白;;;白","","無","18","SY SYNPID",,"https://mcp.fda.gov.tw/insert/shapeImg/001af993-d5b7-4904-9896-a679f1266ec1?c=o"
"衛署藥製字第042829號","安嗽寧膠囊","ANTHOLIN CAPSULES","膠囊","","白;;;白","","無","17","winston 30515",,"https://mcp.fda.gov.tw/insert/shapeImg/05ba57a3-55a9-4f42-b8be-1534ec371f02?c=o"
"衛署藥製字第042837號","""中國化學""憂適停膠囊20毫克（富魯歐西汀）","UXETINE CAPSULES 20MG (FLUOXETINE)","膠囊","","綠;;;黃","","無","15.7","CCP B54",,"https://mcp.fda.gov.tw/insert/shapeImg/f91e8b5f-6f39-4d4c-81e5-53c14fec64ca?c=o"
"衛署藥製字第042855號","〝井田〞治酸痛腸溶微粒膠囊50毫克(二克氯吩鈉)","SAWTO ENTERIC-MICROENCAPSULATED CAPSULES 50MG (DICLOFENAC SODIUM) ""CHINTENG""","膠囊","","紅;;;透明","","無","14","CTP N15",,"https://mcp.fda.gov.tw/insert/shapeImg/4f1e96eb-638f-4c95-b87a-8c60040d3b5c?c=o"
"衛署藥製字第042857號","安壓得寧錠5毫克","AMNDILINE TABLETS 5MG (AMLODIPINE)","八邊形","","白","","直線","8.7","CCP","C62 5","https://mcp.fda.gov.tw/insert/shapeImg/3ed2ba82-03d7-455e-a2d1-30f2de232cfa?c=o"
"衛署藥製字第042858號","伏痛寧錠","FOTONRIN TABLETS","四邊形","","黃","","無","20","winston",,"https://mcp.fda.gov.tw/insert/shapeImg/657f3735-d0d8-49ae-ac84-6b543a22f8dd?c=o"
"衛署藥製字第042860號","〝健亞〞健敏錠１０公絲（樂雷塔定）","GENADINE TABLET 10MG (LORATADINE)","四邊形","","白","","直線","8","GBL 10",,"https://mcp.fda.gov.tw/insert/shapeImg/54650175-ac5a-4006-9eb1-2093f85f00a5?c=o"
"衛署藥製字第042863號","""信東"" 發馬膜衣錠20毫克（啡莫替定）","Famo F.C. Tablets 20MG (Famotidine) ","圓形","","白","","無","8","FAMO 20",,"https://mcp.fda.gov.tw/insert/shapeImg/42075971-1dce-4f11-b0e7-f4e7ea453f97?c=o"
"衛署藥製字第042874號","健諾心錠４公絲（甲磺酸多薩坐辛）","GENZOSIN TABLET 4MG (DOXAZOSIN MESYLATE)","圓形","","白","","直線","9.0","GBL 4","無","https://mcp.fda.gov.tw/insert/shapeImg/cf79a339-3f08-4b90-8f02-1008bf1ec1b4?c=o"
"衛署藥製字第042875號","〝溫士頓〞 固骨膠囊２５０毫克（硫酸固可沙明 )","CO-GOOD CAPSULES 250MG (GLUCOSAMINE SULFATE)""WINSTON""","膠囊","","紅;;;白","","無","19","winston 30517",,"https://mcp.fda.gov.tw/insert/shapeImg/a38aea11-22a2-4eb2-98e9-a081e498ff39?c=o"
"衛署藥製字第042876號",,"SELEGILINE HYDROCHLORIDE 5MG TABLET",,"","","","無",,,,""
"衛署藥製字第042884號","""信東"" 膚康膠囊150毫克（膚可那挫）","FLUCON CAPSULES 150MG (FLUCONAZOLE) ""TBC""","膠囊","","白;;;白","","無","19","150mg","ST 236","https://mcp.fda.gov.tw/insert/shapeImg/158db5fa-36e4-45ba-995f-9f7fc7d8123e?c=o"
"衛署藥製字第042887號","司特寧膜衣錠10毫克""黃氏""","CETIZIN F.C. TABLETS 10MG (CETIRIZINE) ""H.S.""","橢圓形","","橘","","直線","10","H S",,"https://mcp.fda.gov.tw/insert/shapeImg/893b42c3-b075-416b-8be8-8d1f837881ff?c=o"
"衛署藥製字第042899號","""健亞"" 殲瘧膜衣錠２００毫克（硫酸羥氯奎寧）","GENIQUIN FILM COATED TABLETS 200MG (HYDROXYCHLOROQUINE SULFATE)","圓形","","粉","","無","11.1","GBL",,"https://mcp.fda.gov.tw/insert/shapeImg/272dff01-fba0-41d4-aff9-9fda9bc8acc6?c=o"
"衛署藥製字第042906號","暢鬱舒錠１００公絲（鹽酸查諾頓）〝信東〞","TRAZONE TABLETS 100MG (TRAZODONE HYDROCHLORIDE) ""S.T.""","圓形","","白","","十字","9",,,"https://mcp.fda.gov.tw/insert/shapeImg/344a3806-5c54-4682-a312-1a71376be301?c=o"
"衛署藥製字第042908號","""信東"" 代蜜錠８０毫克","DIAMIN TABLETS 80MG (GLICLAZIDE)","圓形","","白","","直線","8","ST 295",,"https://mcp.fda.gov.tw/insert/shapeImg/031ee5da-3c44-46e1-b274-a0e576f76fb2?c=o"
"衛署藥製字第042917號","""瑪科隆"" 舒壓錠５毫克（安脈狄平）","LOLATE TABLETS 5MG""MACRO"" (AMLODIPINE)","八邊形","","白","","直線","9","MAC","LDP 5","https://mcp.fda.gov.tw/insert/shapeImg/26a60723-d922-46c8-ba31-e629017d4948?c=o"
"衛署藥製字第042919號","舒緩錠２００公絲（甲氧噁酮）〝政德〞","DOFLEX TABLETS 200MG (MEPHENOXALONE)""GENTLE""","圓形","","白","","直線","9.8","GP","277","https://mcp.fda.gov.tw/insert/shapeImg/0367009b-a9b5-4a6b-a85f-777bdbeb25bb?c=o"
"衛署藥製字第042936號","""衛達""得壓平錠２公絲（特若辛）","TEZOPIN TABLETS 2MG ""WEIDAR"" (TERAZOSIN) ""WEIDAR""","圓形","","橘","","直線","7.0",,,"https://mcp.fda.gov.tw/insert/shapeImg/8d2da13e-b819-4501-af4a-bd13b2f89803?c=o"
"衛署藥製字第042942號","〝福元〞胃乳錠300毫克","WEIL TABLET 300MG ""F.Y.""","圓形","","白","","無","11","FY T003",,"https://mcp.fda.gov.tw/insert/shapeImg/e1e2da95-6dbd-48d5-ac1f-3cb5628995e0?c=o"
"衛署藥製字第042944號","""威勝""克鬱錠25毫克","CONWU TABLETS 25MG ""W.S.""","圓形","","白","","無","6",,,"https://mcp.fda.gov.tw/insert/shapeImg/736749d6-5be2-4310-90c5-49ba93d37413_img_1?c=o"
"衛署藥製字第042946號","""培力""思邁蒂膜衣錠５０毫克（斯比樂）","SULMATYL FILM COATED TABLETS 50MG ""P.L."" (SULPIRIDE)","圓形","","白","","無","6","PL",,"https://mcp.fda.gov.tw/insert/shapeImg/a516fd92-9fee-418d-8c85-0a152870cd3a?c=o"
"衛署藥製字第042948號","""健亞""  健得靜錠０．２５毫克（三氮二氮平）","GENDERGIN TABLET 0.25MG (ALPRAZOLAM)","橢圓形","","白","","直線","9","GBL 25",,"https://mcp.fda.gov.tw/insert/shapeImg/21d63666-cf37-479b-a1e9-4191cb72f4c2?c=o"
"衛署藥製字第042957號","""信東""憂停膜衣錠１５０毫克","EUTAC F.C TABLETS 150MG (MOCLOBEMIDE)","橢圓形","","黃","","直線","14","ST 150",,"https://mcp.fda.gov.tw/insert/shapeImg/aaeeb9af-4cd6-4510-b8e4-047bc2e81826?c=o"
"衛署藥製字第042959號","""人生""維肝膠囊１５０公絲（思利馬林)","SILYMARIN CAPSULE 150MG ""JENSHENG""","膠囊","","棕;;;棕","","無","20","JenSheng 150",,"https://mcp.fda.gov.tw/insert/shapeImg/79532c83-12ec-4a4a-92a1-a2da7855323c?c=o"
"衛署藥製字第042965號","""嘉林"" 快克敏錠5毫克","QUITAZINE TABLETS 5MG ""C.L.""","圓形","","粉","","十字","8",,,"https://mcp.fda.gov.tw/insert/shapeImg/76339549-91aa-4437-9683-d68aa8cfae69?c=o"
"衛署藥製字第042968號","嘜嗽糖漿","MYSON SYRUP","液劑(包含糖漿用粉劑)","","粉","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/98942777-04ae-4b2f-9037-71fe883b296d_img_1?c=o"
"衛署藥製字第043010號","""中美"" 舒胃因錠","SWELLIN TABLET ""C.M.""","圓形","","黃;;;白","","直線","12","C M",,"https://mcp.fda.gov.tw/insert/shapeImg/f8c02036-d866-49e8-af8c-1be247de0f7f?c=o"
"衛署藥製字第043018號","依敏膜衣錠５０公絲（美海得林）〝永信〞","ZUMIN FILM COATED TABLETS 50MG (MEBHYDROLIN) ""YUNG SHIN""","圓形","","白","","無","7.5",,,"https://mcp.fda.gov.tw/insert/shapeImg/add2e527-0b61-44b2-86ba-3a9057761971?c=o"
"衛署藥製字第043031號","舒鼻適福複方錠　〝信東〞","SPIZ-H TABLETS ""S.T.""","圓形","","白","","直線",,"ST 059",,"https://mcp.fda.gov.tw/insert/shapeImg/0760eba2-69aa-4c32-9161-dc8164ca01c3?c=o"
"衛署藥製字第043038號","愛絡舒錠２００毫克（美非歐隆）","ASLEX TABLETS 200MG (MEPHENOXALONE)","圓形","","白","","直線","9","M",,"https://mcp.fda.gov.tw/insert/shapeImg/2b356953-5070-47d1-a807-ca36342dfabe?c=o"
"衛署藥製字第043039號","〝信東〞欣咳痰兒童糖漿","SINCOTAN SYRUP FOR CHILDREN","液劑(包含糖漿用粉劑)","","黃","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/280cac3a-7d73-4deb-bf06-5170861cc428?c=o"
"衛署藥製字第043040號","""十全""沛暢膜衣錠７５公絲（二吡待摩）","PEYSAN F.C. TAB. 75MG (DIPYRIDAMOLE) ""S.C.""","圓形","","紅","","無","8",,,"https://mcp.fda.gov.tw/insert/shapeImg/98ab3f4e-251a-4fae-9de2-d3b0cddae0e7?c=o"
"衛署藥製字第043048號","驅之敏膜衣錠１０公絲","SETIZIN F.C. TABLETS 10MG (CETIRIZINE)","四邊形","","白","","直線","10.2",,,"https://mcp.fda.gov.tw/insert/shapeImg/1c43a411-846e-49e4-8c03-4c0dc7aafd01?c=o"
"衛署藥製字第043053號","〝成大〞骨力健膠囊２５０毫克（硫酸固可沙明）","GLUSAMIN CAPSULES 250MG (GLUCOSAMINE SULFATE) ""CHEN TA""","膠囊","","紅;;;白","","無","20","CTA 238",,"https://mcp.fda.gov.tw/insert/shapeImg/b222df58-ec20-4d1f-b3e0-839e05ff0a76?c=o"
"衛署藥製字第043067號","""羅得""百暢舒膜衣錠20毫克","BAECHANCE F.C. TABLET 20MG ""ROOT""","圓形","","粉","","無","6",,,"https://mcp.fda.gov.tw/insert/shapeImg/c743ec4a-c446-40db-aaa5-bfd46f972017?c=o"
"衛署藥製字第043073號","""安星""鈣利錠500毫克(碳酸鈣)","CALI TABLETS 500MG (CALCIUM CARBONATE)""ASTAR""","圓形","","白","","無",,"ASTAR","GMP","https://mcp.fda.gov.tw/insert/shapeImg/8c4c8395-7fb2-4147-8508-a6c7915ce7ea?c=o"
"衛署藥製字第043074號","""信東"" 痛酸立克１００公絲（異嘌呤醇）","TONSARIC TABLETS 100MG (ALLOPURINOL) ""S.T.""","圓形","","白","","無","10","TONS 100",,"https://mcp.fda.gov.tw/insert/shapeImg/375309b9-676c-4b3d-ae1a-cb9ba69389cf?c=o"
"衛署藥製字第047632號","""華興""壓可平錠10毫克 (安脈狄平)","Amcopine Tablets 10mg ""H.S."" (Amlodipine)","橢圓形","","白","","直線","14","H S","B 6","https://mcp.fda.gov.tw/insert/shapeImg/053768b5-34ac-44f3-b6a5-07fc71d064d8?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/60bb596a-354d-44a0-8dcd-091199053a3f_img_1?c=o"
"衛署藥製字第047637號","""利達""骨敏壯膠囊","Guminzon Capsules ""Lita""","膠囊","","白;;;紅","","無","2","LITA GMC",,"https://mcp.fda.gov.tw/insert/shapeImg/cadbb6d3-e6d5-4658-b09a-4ef3d80b605c?c=o"
"衛署藥製字第047638號","憂必晴膜衣錠50毫克","Zapline Film Coated Tablets 50mg","橢圓形","","白","","直線","10","ZAP 50","MACRO","https://mcp.fda.gov.tw/insert/shapeImg/203189e4-d016-4285-9513-88061f33d558?c=o"
"衛署藥製字第047639號","""元宙""孟菲隆錠","Monphelon Tablets ""Y.C.""","圓形","","白","","直線","14","Y",,"https://mcp.fda.gov.tw/insert/shapeImg/348d86ed-6bfa-4123-a5b4-632852bab0c2?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/69a5617e-b5b7-47b2-b1c8-01e3578d8aeb_img_1?c=o"
"衛署藥製字第047643號","""黃氏""舒胃安錠","Shuful Tablet ""H.S.""","橢圓形","","綠","","直線","20",,,"https://mcp.fda.gov.tw/insert/shapeImg/ce6e415e-4c1d-482a-aada-b158dfab2dbd?c=o"
